"Station Name","Date (Local Standard Time)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Air Temp. Avg. Comment"
"Calgary Int'L CS","January-2018","-6.9","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","February-2018","-12.4","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","March-2018","-5.8","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","April-2018","1.0","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","May-2018","14.1","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","June-2018","14.9","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","July-2018","17.1","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","August-2018","16.7","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","September-2018","6.8","AGGREGATED","98.8","Completeness breakdown - Actual: 98.75%, Estimated: 0.972%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","October-2018","3.6","AGGREGATED","99.7","Completeness breakdown - Actual: 99.731%, Estimated: 0.269%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","November-2018","-0.7","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","December-2018","-3.5","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","January-2019","-3.9","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","February-2019","-18.5","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","March-2019","-3.3","AGGREGATED","99.9","Completeness breakdown - Actual: 99.866%, Estimated: 0.134%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","April-2019","4.8","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","May-2019","8.9","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","June-2019","13.6","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","July-2019","15.7","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
"Calgary Int'L CS","August-2019","15.3","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA"
