"Station Name","Date (Local Standard Time)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Air Temp. Avg. Comment","Air Temp. Avg. Normal (°C)","Air Temp. Avg. Normal Source Flag","Air Temp. Avg. Normal Comment"
"Calgary Int'L CS","January-2022","-5.4","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-7.1","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","February-2022","-4.3","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-5.9","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","March-2022","-0.3","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-2.1","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","April-2022","1.8","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","4.1","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","May-2022","9.7","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","9.5","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","June-2022","13.9","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","13.3","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","July-2022","18.2","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","16.4","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","August-2022","19.3","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","15.8","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","September-2022","14.5","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","11.2","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","October-2022","8.1","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","4.8","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","November-2022","-5.8","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-2.1","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","December-2022","-12.0","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-6.5","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","January-2023","-3.7","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-7.1","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","February-2023","-5.6","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-5.9","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","March-2023","-7.0","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-2.1","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","April-2023","4.6","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","4.1","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","May-2023","14.8","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","9.5","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","June-2023","16.0","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","13.3","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","July-2023","17.6","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","16.4","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","August-2023","17.7","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","15.8","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","September-2023","13.0","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","11.2","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","October-2023","4.8","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","4.8","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","November-2023","1.5","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-2.1","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","December-2023","0.0","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-6.5","AGGREGATED","Computed based on years 1991-2020"
"Calgary Int'L CS","January-2024","-9.6","AGGREGATED","100.0","Completeness breakdown - Actual: 100%, Estimated: 0%, Missing: 0%, Rejected: 0%;Aggregation entirety: 100%;Element: ATA","-7.1","AGGREGATED","Computed based on years 1991-2020"
