TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2025,1,4,21,30,62XX ADERA ST,Kerrisdale,489557.5711,5452980.3235
Theft from Vehicle,2025,1,26,1,0,62XX ADERA ST,Kerrisdale,489558.2771,5453004.8017
Theft from Vehicle,2025,1,17,3,0,62XX CARNARVON ST,Kerrisdale,487358.3638,5453038.4741
Theft from Vehicle,2025,1,9,1,0,62XX FREMLIN ST,Oakridge,490760.8855,5452861.318
Theft from Vehicle,2025,1,25,1,0,63XX ADERA ST,Kerrisdale,489545.2268,5452863.4012
Theft from Vehicle,2025,1,9,19,0,63XX LARCH ST,Kerrisdale,488139.2173,5452933.1846
Theft from Vehicle,2025,1,28,22,30,68XX FLEMING ST,Victoria-Fraserview,494669.7148,5452197.485
Theft from Vehicle,2025,1,10,22,15,6X W CORDOVA ST,Central Business District,492299.8946,5458898.3505
Theft from Vehicle,2025,1,11,19,0,6X W CORDOVA ST,Central Business District,492299.8946,5458898.3505
Theft from Vehicle,2025,1,20,9,10,6X W CORDOVA ST,Central Business District,492299.8946,5458898.3505
Theft from Vehicle,2025,1,22,19,0,6X W CORDOVA ST,Central Business District,492299.8946,5458898.3505
Theft from Vehicle,2025,1,10,23,23,6X W CORDOVA ST,Central Business District,492301.0188,5458898.0096
Theft from Vehicle,2025,1,13,17,52,6X W CORDOVA ST,Central Business District,492301.0188,5458898.0096
Theft from Vehicle,2025,1,9,7,0,6XX ALEXANDER ST,Strathcona,493341.2846,5459021.277
Theft from Vehicle,2025,1,18,22,0,6XX BURRARD ST,Central Business District,491278.6732,5459176.8304
Theft from Vehicle,2025,1,24,19,0,6XX CAMBIE ST,Central Business District,491821.5648,5458582.6758
Theft from Vehicle,2025,1,18,22,21,6XX CAMBIE ST,Central Business District,491821.6156,5458582.7287
Theft from Vehicle,2025,1,11,18,0,6XX E 6TH AVE,Mount Pleasant,493382.9591,5456942.6649
Theft from Vehicle,2025,1,28,11,30,6XX EXPO BLVD,Central Business District,492080.5773,5458435.4767
Theft from Vehicle,2025,1,28,17,15,6XX HAMILTON ST,Central Business District,491814.2011,5458700.6777
Theft from Vehicle,2025,1,16,9,45,6XX HOMER ST,Central Business District,491676.3933,5458702.8347
Theft from Vehicle,2025,1,24,14,30,6XX HOMER ST BLOCK,Central Business District,491746.511,5458773.846
Theft from Vehicle,2025,1,25,17,40,6XX HOWE ST,Central Business District,491402.0048,5459010.4004
Theft from Vehicle,2025,1,7,11,54,6XX MOBERLY RD,Fairview,491392.8359,5457133.1464
Theft from Vehicle,2025,1,27,18,0,6XX RICHARDS ST,Central Business District,491603.3348,5458785.2991
Theft from Vehicle,2025,1,9,19,0,6XX SEYMOUR ST,Central Business District,491521.0626,5458826.8435
Theft from Vehicle,2025,1,14,0,0,6XX W CORDOVA ST,Central Business District,491866.7009,5459186.4219
Theft from Vehicle,2025,1,13,20,0,70XX FLEMING ST,Victoria-Fraserview,494663.7747,5451947.3629
Theft from Vehicle,2025,1,19,16,0,71XX CAMANO ST,Killarney,498008.5856,5451799.6087
Theft from Vehicle,2025,1,8,4,18,72XX FRASER ST,Sunset,493383.6079,5451813.6296
Theft from Vehicle,2025,1,29,9,5,76XX CHAMPLAIN CRES,Killarney,497759.8798,5451509.8904
Theft from Vehicle,2025,1,5,1,30,76XX THORNHILL DR,Victoria-Fraserview,495005.3422,5451368.3528
